year,CSUSHPISA,"Inflation, consumer prices (annual %)",GDP (constant 2015 US$),Oil rents (% of GDP),Tax revenue (% of GDP),GDP per capita,Households and NPISHs Final consumption expenditure ,Unemployment
2000,1257.221,3.376857271,1.38E+13,0.307551277,12.97080036,36329.95607,8.94E+12,3.99
2001,1358.154,2.826171119,1.39E+13,0.169432958,11.8577039,37133.62311,9.16E+12,4.73
2002,1467.342,1.586031627,1.41E+13,0.172817089,9.868012202,37997.75966,9.39E+12,5.78
2003,1604.772,2.270094973,1.45E+13,0.211788526,9.390699103,39490.27496,9.69E+12,5.99
2004,1805.281,2.677236693,1.51E+13,0.283170635,9.537472979,41724.63163,1.01E+13,5.53
2005,2060.841,3.392746845,1.56E+13,0.350823193,10.68173114,44123.40707,1.04E+13,5.08
2006,2201.369,3.225944101,1.60E+13,0.349464273,11.31047567,46302.00088,1.07E+13,4.62
2007,2159.026,2.852672482,1.64E+13,0.356897499,11.28991352,48050.22378,1.10E+13,4.62
2008,1968.686,3.839100297,1.64E+13,0.521498896,10.27619094,48570.04598,1.10E+13,5.78
2009,1782.535,-0.355546266,1.60E+13,0.259640404,7.90351822,47194.94335,1.08E+13,9.25
2010,1736.09,1.640043442,1.64E+13,0.2937627,8.563225761,48650.64313,1.10E+13,9.63
2011,1671.12,3.156841569,1.66E+13,0.370845235,9.538930988,50065.9665,1.12E+13,8.95
2012,1691.936,2.069337265,1.70E+13,0.205925846,9.76391603,51784.41857,1.14E+13,8.07
2013,1854.245,1.464832656,1.73E+13,0.30565008,10.48350933,53291.12769,1.16E+13,7.37
2014,1976.392,1.622222977,1.77E+13,0.292226566,10.93318083,55123.84979,1.19E+13,6.17
2015,2066.189,0.118627136,1.82E+13,0.007525181,11.22900841,56762.72945,1.23E+13,5.28
2016,2171.127,1.261583206,1.85E+13,0.0922955,10.91413748,57866.74493,1.26E+13,4.87
2017,2296.824,2.130110004,1.89E+13,0.162525851,11.58390417,59907.75426,1.29E+13,4.36
2018,2429.817,2.442583297,1.95E+13,0.319247607,9.994403994,62823.30944,1.32E+13,3.9
2019,2513.681,1.812210075,1.99E+13,0.36854456,9.960869832,65120.39466,1.35E+13,3.67
2020,2665.863,1.233584396,1.94E+13,0.187625106,10.13527017,63528.6343,1.31E+13,8.05
2021,3120.8,4.697858864,2.05E+13,0.611482656,11.2336202,70219.47245,1.42E+13,5.35
2022,3581.747,8.002799821,2.10E+13,,,76398.59174,,3.611
2023,1799.275,,,,,,,
